Complaint_ID,Location,Complaint_Text,Category,Priority_Label
CMP-1313,Bengaluru,"Traffic signals not working at Bengaluru, risk of accidents.",Traffic Signal Failure,Medium
CMP-1314,Mumbai,"Unsafe area at night in Mumbai, police patrolling required.",Women Safety,High
CMP-1315,Mumbai,Broken traffic lights causing congestion in Mumbai.,Traffic Signal Failure,Medium
CMP-1316,Chennai,Broken traffic lights causing congestion in Chennai.,Traffic Signal Failure,Medium
CMP-1317,Bengaluru,Patient not treated in emergency ward at Bengaluru.,Hospital Emergency,High
CMP-1318,Hyderabad,"Ambulance delayed, urgent help needed in Hyderabad.",Hospital Emergency,High
CMP-1319,Mumbai,Overflowing waste bins causing bad smell in Mumbai.,Garbage Disposal,Low
CMP-1320,Bengaluru,Patient not treated in emergency ward at Bengaluru.,Hospital Emergency,High
CMP-1321,Delhi,"Traffic signals not working at Delhi, risk of accidents.",Traffic Signal Failure,Medium
CMP-1322,Mumbai,No water supply in Mumbai for 3 days.,Water Supply,Low
CMP-1323,Chennai,Garbage not collected for days in Chennai.,Garbage Disposal,Low
CMP-1324,Bengaluru,Overflowing waste bins causing bad smell in Bengaluru.,Garbage Disposal,Low
CMP-1325,Mumbai,Officer demanded bribe for service approval in Mumbai.,Corruption Bribe,High
CMP-1326,Chennai,Dirty drinking water coming from taps in Chennai.,Water Supply,Low
CMP-1327,Chennai,Huge potholes causing accidents near Chennai.,Road Damage,Medium
CMP-1328,Bengaluru,Illegal payments forced for basic work in Bengaluru.,Corruption Bribe,High
CMP-1329,Bengaluru,Officer demanded bribe for service approval in Bengaluru.,Corruption Bribe,High
CMP-1330,Bengaluru,"Unsafe area at night in Bengaluru, police patrolling required.",Women Safety,High
CMP-1331,Mumbai,Broken traffic lights causing congestion in Mumbai.,Traffic Signal Failure,Medium
CMP-1332,Mumbai,Frequent voltage fluctuation in Mumbai.,Electricity Outage,Medium
CMP-1333,Bengaluru,Garbage not collected for days in Bengaluru.,Garbage Disposal,Low
CMP-1334,Mumbai,Illegal payments forced for basic work in Mumbai.,Corruption Bribe,High
CMP-1335,Delhi,No water supply in Delhi for 3 days.,Water Supply,Low
CMP-1336,Hyderabad,Huge potholes causing accidents near Hyderabad.,Road Damage,Medium
CMP-1337,Hyderabad,Frequent voltage fluctuation in Hyderabad.,Electricity Outage,Medium
CMP-1338,Bengaluru,Huge potholes causing accidents near Bengaluru.,Road Damage,Medium
CMP-1339,Chennai,Frequent voltage fluctuation in Chennai.,Electricity Outage,Medium
CMP-1340,Bengaluru,Overflowing waste bins causing bad smell in Bengaluru.,Garbage Disposal,Low
CMP-1341,Chennai,Officer demanded bribe for service approval in Chennai.,Corruption Bribe,High
CMP-1342,Mumbai,"Traffic signals not working at Mumbai, risk of accidents.",Traffic Signal Failure,Medium
CMP-1343,Hyderabad,Harassment incidents reported near Hyderabad. Immediate action needed.,Women Safety,High
CMP-1344,Delhi,"Unsafe area at night in Delhi, police patrolling required.",Women Safety,High
CMP-1345,Delhi,Power outage since morning in Delhi.,Electricity Outage,Medium
CMP-1346,Delhi,Broken traffic lights causing congestion in Delhi.,Traffic Signal Failure,Medium
CMP-1347,Mumbai,Overflowing waste bins causing bad smell in Mumbai.,Garbage Disposal,Low
CMP-1348,Chennai,"Traffic signals not working at Chennai, risk of accidents.",Traffic Signal Failure,Medium
CMP-1349,Delhi,Huge potholes causing accidents near Delhi.,Road Damage,Medium
CMP-1350,Delhi,Illegal payments forced for basic work in Delhi.,Corruption Bribe,High
CMP-1351,Bengaluru,Officer demanded bribe for service approval in Bengaluru.,Corruption Bribe,High
CMP-1352,Chennai,Dirty drinking water coming from taps in Chennai.,Water Supply,Low
CMP-1353,Bengaluru,Patient not treated in emergency ward at Bengaluru.,Hospital Emergency,High
CMP-1354,Delhi,Officer demanded bribe for service approval in Delhi.,Corruption Bribe,High
CMP-1355,Delhi,Frequent voltage fluctuation in Delhi.,Electricity Outage,Medium
CMP-1356,Bengaluru,Frequent voltage fluctuation in Bengaluru.,Electricity Outage,Medium
CMP-1357,Chennai,No water supply in Chennai for 3 days.,Water Supply,Low
CMP-1358,Chennai,No water supply in Chennai for 3 days.,Water Supply,Low
CMP-1359,Bengaluru,Garbage not collected for days in Bengaluru.,Garbage Disposal,Low
CMP-1360,Chennai,No water supply in Chennai for 3 days.,Water Supply,Low
CMP-1361,Bengaluru,Officer demanded bribe for service approval in Bengaluru.,Corruption Bribe,High
CMP-1362,Bengaluru,"Traffic signals not working at Bengaluru, risk of accidents.",Traffic Signal Failure,Medium
CMP-1363,Bengaluru,Huge potholes causing accidents near Bengaluru.,Road Damage,Medium
CMP-1364,Hyderabad,"Traffic signals not working at Hyderabad, risk of accidents.",Traffic Signal Failure,Medium
CMP-1365,Hyderabad,Patient not treated in emergency ward at Hyderabad.,Hospital Emergency,High
CMP-1366,Mumbai,Patient not treated in emergency ward at Mumbai.,Hospital Emergency,High
CMP-1367,Delhi,"Traffic signals not working at Delhi, risk of accidents.",Traffic Signal Failure,Medium
CMP-1368,Hyderabad,Officer demanded bribe for service approval in Hyderabad.,Corruption Bribe,High
CMP-1369,Chennai,Officer demanded bribe for service approval in Chennai.,Corruption Bribe,High
CMP-1370,Delhi,Harassment incidents reported near Delhi. Immediate action needed.,Women Safety,High
CMP-1371,Hyderabad,Illegal payments forced for basic work in Hyderabad.,Corruption Bribe,High
CMP-1372,Chennai,Garbage not collected for days in Chennai.,Garbage Disposal,Low
CMP-1373,Mumbai,"Unsafe area at night in Mumbai, police patrolling required.",Women Safety,High
CMP-1374,Chennai,Harassment incidents reported near Chennai. Immediate action needed.,Women Safety,High
CMP-1375,Delhi,"Ambulance delayed, urgent help needed in Delhi.",Hospital Emergency,High
CMP-1376,Bengaluru,Broken traffic lights causing congestion in Bengaluru.,Traffic Signal Failure,Medium
CMP-1377,Hyderabad,Frequent voltage fluctuation in Hyderabad.,Electricity Outage,Medium
CMP-1378,Delhi,No water supply in Delhi for 3 days.,Water Supply,Low
CMP-1379,Delhi,"Ambulance delayed, urgent help needed in Delhi.",Hospital Emergency,High
CMP-1380,Mumbai,Dirty drinking water coming from taps in Mumbai.,Water Supply,Low
CMP-1381,Chennai,Power outage since morning in Chennai.,Electricity Outage,Medium
CMP-1382,Bengaluru,Broken traffic lights causing congestion in Bengaluru.,Traffic Signal Failure,Medium
CMP-1383,Bengaluru,Road repair pending for months in Bengaluru.,Road Damage,Medium
CMP-1384,Bengaluru,Broken traffic lights causing congestion in Bengaluru.,Traffic Signal Failure,Medium
CMP-1385,Chennai,"Unsafe area at night in Chennai, police patrolling required.",Women Safety,High
CMP-1386,Mumbai,Dirty drinking water coming from taps in Mumbai.,Water Supply,Low
CMP-1387,Delhi,Huge potholes causing accidents near Delhi.,Road Damage,Medium
CMP-1388,Mumbai,Broken traffic lights causing congestion in Mumbai.,Traffic Signal Failure,Medium
CMP-1389,Hyderabad,Frequent voltage fluctuation in Hyderabad.,Electricity Outage,Medium
CMP-1390,Hyderabad,Huge potholes causing accidents near Hyderabad.,Road Damage,Medium
CMP-1391,Delhi,No water supply in Delhi for 3 days.,Water Supply,Low
CMP-1392,Hyderabad,Frequent voltage fluctuation in Hyderabad.,Electricity Outage,Medium
CMP-1393,Delhi,"Unsafe area at night in Delhi, police patrolling required.",Women Safety,High
CMP-1394,Delhi,Dirty drinking water coming from taps in Delhi.,Water Supply,Low
CMP-1395,Delhi,Frequent voltage fluctuation in Delhi.,Electricity Outage,Medium
CMP-1396,Delhi,No water supply in Delhi for 3 days.,Water Supply,Low
CMP-1397,Chennai,Harassment incidents reported near Chennai. Immediate action needed.,Women Safety,High
CMP-1398,Hyderabad,"Traffic signals not working at Hyderabad, risk of accidents.",Traffic Signal Failure,Medium
CMP-1399,Hyderabad,Road repair pending for months in Hyderabad.,Road Damage,Medium
CMP-1400,Hyderabad,Overflowing waste bins causing bad smell in Hyderabad.,Garbage Disposal,Low
CMP-1401,Bengaluru,"Ambulance delayed, urgent help needed in Bengaluru.",Hospital Emergency,High
CMP-1402,Hyderabad,"Traffic signals not working at Hyderabad, risk of accidents.",Traffic Signal Failure,Medium
CMP-1403,Chennai,Broken traffic lights causing congestion in Chennai.,Traffic Signal Failure,Medium
CMP-1404,Delhi,Garbage not collected for days in Delhi.,Garbage Disposal,Low
CMP-1405,Chennai,Officer demanded bribe for service approval in Chennai.,Corruption Bribe,High
CMP-1406,Delhi,Officer demanded bribe for service approval in Delhi.,Corruption Bribe,High
CMP-1407,Mumbai,Huge potholes causing accidents near Mumbai.,Road Damage,Medium
CMP-1408,Bengaluru,"Traffic signals not working at Bengaluru, risk of accidents.",Traffic Signal Failure,Medium
CMP-1409,Hyderabad,Garbage not collected for days in Hyderabad.,Garbage Disposal,Low
CMP-1410,Mumbai,Huge potholes causing accidents near Mumbai.,Road Damage,Medium
CMP-1411,Chennai,Garbage not collected for days in Chennai.,Garbage Disposal,Low
CMP-1412,Delhi,Harassment incidents reported near Delhi. Immediate action needed.,Women Safety,High
CMP-1413,Chennai,Harassment incidents reported near Chennai. Immediate action needed.,Women Safety,High
CMP-1414,Hyderabad,"Traffic signals not working at Hyderabad, risk of accidents.",Traffic Signal Failure,Medium
CMP-1415,Bengaluru,No water supply in Bengaluru for 3 days.,Water Supply,Low
CMP-1416,Mumbai,Patient not treated in emergency ward at Mumbai.,Hospital Emergency,High
CMP-1417,Hyderabad,Overflowing waste bins causing bad smell in Hyderabad.,Garbage Disposal,Low
CMP-1418,Delhi,"Unsafe area at night in Delhi, police patrolling required.",Women Safety,High
CMP-1419,Chennai,Illegal payments forced for basic work in Chennai.,Corruption Bribe,High
CMP-1420,Hyderabad,No water supply in Hyderabad for 3 days.,Water Supply,Low
CMP-1421,Chennai,Road repair pending for months in Chennai.,Road Damage,Medium
CMP-1422,Hyderabad,No water supply in Hyderabad for 3 days.,Water Supply,Low
CMP-1423,Mumbai,Road repair pending for months in Mumbai.,Road Damage,Medium
CMP-1424,Chennai,Overflowing waste bins causing bad smell in Chennai.,Garbage Disposal,Low
CMP-1425,Bengaluru,Garbage not collected for days in Bengaluru.,Garbage Disposal,Low
CMP-1426,Hyderabad,Harassment incidents reported near Hyderabad. Immediate action needed.,Women Safety,High
CMP-1427,Chennai,Illegal payments forced for basic work in Chennai.,Corruption Bribe,High
CMP-1428,Hyderabad,Broken traffic lights causing congestion in Hyderabad.,Traffic Signal Failure,Medium
CMP-1429,Mumbai,"Traffic signals not working at Mumbai, risk of accidents.",Traffic Signal Failure,Medium
CMP-1430,Chennai,Garbage not collected for days in Chennai.,Garbage Disposal,Low
CMP-1431,Hyderabad,No water supply in Hyderabad for 3 days.,Water Supply,Low
CMP-1432,Chennai,Patient not treated in emergency ward at Chennai.,Hospital Emergency,High
CMP-1433,Mumbai,"Ambulance delayed, urgent help needed in Mumbai.",Hospital Emergency,High
CMP-1434,Mumbai,Garbage not collected for days in Mumbai.,Garbage Disposal,Low
CMP-1435,Hyderabad,Patient not treated in emergency ward at Hyderabad.,Hospital Emergency,High
CMP-1436,Bengaluru,Road repair pending for months in Bengaluru.,Road Damage,Medium
CMP-1437,Delhi,Overflowing waste bins causing bad smell in Delhi.,Garbage Disposal,Low
CMP-1438,Hyderabad,Huge potholes causing accidents near Hyderabad.,Road Damage,Medium
CMP-1439,Delhi,Harassment incidents reported near Delhi. Immediate action needed.,Women Safety,High
CMP-1440,Chennai,Overflowing waste bins causing bad smell in Chennai.,Garbage Disposal,Low
CMP-1441,Bengaluru,Frequent voltage fluctuation in Bengaluru.,Electricity Outage,Medium
CMP-1442,Delhi,Dirty drinking water coming from taps in Delhi.,Water Supply,Low
CMP-1443,Bengaluru,Illegal payments forced for basic work in Bengaluru.,Corruption Bribe,High
CMP-1444,Delhi,Road repair pending for months in Delhi.,Road Damage,Medium
CMP-1445,Mumbai,Road repair pending for months in Mumbai.,Road Damage,Medium
CMP-1446,Mumbai,Overflowing waste bins causing bad smell in Mumbai.,Garbage Disposal,Low
CMP-1447,Hyderabad,Huge potholes causing accidents near Hyderabad.,Road Damage,Medium
CMP-1448,Hyderabad,Patient not treated in emergency ward at Hyderabad.,Hospital Emergency,High
CMP-1449,Delhi,Harassment incidents reported near Delhi. Immediate action needed.,Women Safety,High
CMP-1450,Chennai,Overflowing waste bins causing bad smell in Chennai.,Garbage Disposal,Low
CMP-1451,Chennai,Overflowing waste bins causing bad smell in Chennai.,Garbage Disposal,Low
CMP-1452,Mumbai,No water supply in Mumbai for 3 days.,Water Supply,Low
CMP-1453,Hyderabad,Harassment incidents reported near Hyderabad. Immediate action needed.,Women Safety,High
CMP-1454,Chennai,Road repair pending for months in Chennai.,Road Damage,Medium
CMP-1455,Delhi,Overflowing waste bins causing bad smell in Delhi.,Garbage Disposal,Low
CMP-1456,Mumbai,Road repair pending for months in Mumbai.,Road Damage,Medium
CMP-1457,Mumbai,Harassment incidents reported near Mumbai. Immediate action needed.,Women Safety,High
CMP-1458,Bengaluru,"Ambulance delayed, urgent help needed in Bengaluru.",Hospital Emergency,High
CMP-1459,Mumbai,Power outage since morning in Mumbai.,Electricity Outage,Medium
CMP-1460,Chennai,No water supply in Chennai for 3 days.,Water Supply,Low
CMP-1461,Bengaluru,Harassment incidents reported near Bengaluru. Immediate action needed.,Women Safety,High
CMP-1462,Bengaluru,"Unsafe area at night in Bengaluru, police patrolling required.",Women Safety,High
CMP-1463,Mumbai,Harassment incidents reported near Mumbai. Immediate action needed.,Women Safety,High
CMP-1464,Hyderabad,Dirty drinking water coming from taps in Hyderabad.,Water Supply,Low
CMP-1465,Delhi,No water supply in Delhi for 3 days.,Water Supply,Low
CMP-1466,Chennai,"Ambulance delayed, urgent help needed in Chennai.",Hospital Emergency,High
CMP-1467,Chennai,Broken traffic lights causing congestion in Chennai.,Traffic Signal Failure,Medium
CMP-1468,Bengaluru,"Unsafe area at night in Bengaluru, police patrolling required.",Women Safety,High
CMP-1469,Delhi,Dirty drinking water coming from taps in Delhi.,Water Supply,Low
CMP-1470,Hyderabad,Frequent voltage fluctuation in Hyderabad.,Electricity Outage,Medium
CMP-1471,Bengaluru,Power outage since morning in Bengaluru.,Electricity Outage,Medium
CMP-1472,Mumbai,Overflowing waste bins causing bad smell in Mumbai.,Garbage Disposal,Low
CMP-1473,Hyderabad,Broken traffic lights causing congestion in Hyderabad.,Traffic Signal Failure,Medium
CMP-1474,Hyderabad,Overflowing waste bins causing bad smell in Hyderabad.,Garbage Disposal,Low
CMP-1475,Chennai,No water supply in Chennai for 3 days.,Water Supply,Low
CMP-1476,Mumbai,Huge potholes causing accidents near Mumbai.,Road Damage,Medium
CMP-1477,Hyderabad,Dirty drinking water coming from taps in Hyderabad.,Water Supply,Low
CMP-1478,Bengaluru,Broken traffic lights causing congestion in Bengaluru.,Traffic Signal Failure,Medium
CMP-1479,Delhi,Broken traffic lights causing congestion in Delhi.,Traffic Signal Failure,Medium
CMP-1480,Chennai,Illegal payments forced for basic work in Chennai.,Corruption Bribe,High
CMP-1481,Chennai,Harassment incidents reported near Chennai. Immediate action needed.,Women Safety,High
CMP-1482,Mumbai,Road repair pending for months in Mumbai.,Road Damage,Medium
CMP-1483,Chennai,Garbage not collected for days in Chennai.,Garbage Disposal,Low
CMP-1484,Hyderabad,"Ambulance delayed, urgent help needed in Hyderabad.",Hospital Emergency,High
CMP-1485,Delhi,Dirty drinking water coming from taps in Delhi.,Water Supply,Low
CMP-1486,Bengaluru,Power outage since morning in Bengaluru.,Electricity Outage,Medium
CMP-1487,Bengaluru,Overflowing waste bins causing bad smell in Bengaluru.,Garbage Disposal,Low
CMP-1488,Hyderabad,Road repair pending for months in Hyderabad.,Road Damage,Medium
CMP-1489,Delhi,Illegal payments forced for basic work in Delhi.,Corruption Bribe,High
CMP-1490,Chennai,Illegal payments forced for basic work in Chennai.,Corruption Bribe,High
CMP-1491,Chennai,Overflowing waste bins causing bad smell in Chennai.,Garbage Disposal,Low
CMP-1492,Delhi,Harassment incidents reported near Delhi. Immediate action needed.,Women Safety,High
CMP-1493,Delhi,Harassment incidents reported near Delhi. Immediate action needed.,Women Safety,High
CMP-1494,Chennai,Patient not treated in emergency ward at Chennai.,Hospital Emergency,High
CMP-1495,Bengaluru,Frequent voltage fluctuation in Bengaluru.,Electricity Outage,Medium
CMP-1496,Chennai,"Ambulance delayed, urgent help needed in Chennai.",Hospital Emergency,High
CMP-1497,Chennai,"Traffic signals not working at Chennai, risk of accidents.",Traffic Signal Failure,Medium
CMP-1498,Delhi,Garbage not collected for days in Delhi.,Garbage Disposal,Low
CMP-1499,Mumbai,Patient not treated in emergency ward at Mumbai.,Hospital Emergency,High
CMP-1500,Chennai,"Ambulance delayed, urgent help needed in Chennai.",Hospital Emergency,High
CMP-1501,Bengaluru,Harassment incidents reported near Bengaluru. Immediate action needed.,Women Safety,High
CMP-1502,Hyderabad,Officer demanded bribe for service approval in Hyderabad.,Corruption Bribe,High
CMP-1503,Delhi,Frequent voltage fluctuation in Delhi.,Electricity Outage,Medium
CMP-1504,Delhi,Officer demanded bribe for service approval in Delhi.,Corruption Bribe,High
CMP-1505,Bengaluru,Overflowing waste bins causing bad smell in Bengaluru.,Garbage Disposal,Low
CMP-1506,Bengaluru,"Unsafe area at night in Bengaluru, police patrolling required.",Women Safety,High
CMP-1507,Hyderabad,No water supply in Hyderabad for 3 days.,Water Supply,Low
CMP-1508,Bengaluru,Overflowing waste bins causing bad smell in Bengaluru.,Garbage Disposal,Low
CMP-1509,Chennai,Road repair pending for months in Chennai.,Road Damage,Medium
CMP-1510,Delhi,Broken traffic lights causing congestion in Delhi.,Traffic Signal Failure,Medium
CMP-1511,Delhi,Huge potholes causing accidents near Delhi.,Road Damage,Medium
CMP-1512,Mumbai,"Unsafe area at night in Mumbai, police patrolling required.",Women Safety,High
CMP-1513,Hyderabad,Harassment incidents reported near Hyderabad. Immediate action needed.,Women Safety,High
CMP-1514,Delhi,Road repair pending for months in Delhi.,Road Damage,Medium
CMP-1515,Hyderabad,Huge potholes causing accidents near Hyderabad.,Road Damage,Medium
CMP-1516,Chennai,Frequent voltage fluctuation in Chennai.,Electricity Outage,Medium
CMP-1517,Delhi,Overflowing waste bins causing bad smell in Delhi.,Garbage Disposal,Low
CMP-1518,Delhi,Broken traffic lights causing congestion in Delhi.,Traffic Signal Failure,Medium
CMP-1519,Chennai,Road repair pending for months in Chennai.,Road Damage,Medium
CMP-1520,Mumbai,"Unsafe area at night in Mumbai, police patrolling required.",Women Safety,High
CMP-1521,Mumbai,Broken traffic lights causing congestion in Mumbai.,Traffic Signal Failure,Medium
CMP-1522,Delhi,Broken traffic lights causing congestion in Delhi.,Traffic Signal Failure,Medium
CMP-1523,Chennai,Illegal payments forced for basic work in Chennai.,Corruption Bribe,High
CMP-1524,Delhi,Huge potholes causing accidents near Delhi.,Road Damage,Medium
CMP-1525,Mumbai,Dirty drinking water coming from taps in Mumbai.,Water Supply,Low
CMP-1526,Chennai,Harassment incidents reported near Chennai. Immediate action needed.,Women Safety,High
CMP-1527,Hyderabad,Road repair pending for months in Hyderabad.,Road Damage,Medium
CMP-1528,Chennai,Huge potholes causing accidents near Chennai.,Road Damage,Medium
CMP-1529,Mumbai,Overflowing waste bins causing bad smell in Mumbai.,Garbage Disposal,Low
CMP-1530,Delhi,"Traffic signals not working at Delhi, risk of accidents.",Traffic Signal Failure,Medium
CMP-1531,Mumbai,Patient not treated in emergency ward at Mumbai.,Hospital Emergency,High
CMP-1532,Hyderabad,"Traffic signals not working at Hyderabad, risk of accidents.",Traffic Signal Failure,Medium
CMP-1533,Chennai,Harassment incidents reported near Chennai. Immediate action needed.,Women Safety,High
CMP-1534,Mumbai,Huge potholes causing accidents near Mumbai.,Road Damage,Medium
CMP-1535,Mumbai,Illegal payments forced for basic work in Mumbai.,Corruption Bribe,High
CMP-1536,Chennai,Dirty drinking water coming from taps in Chennai.,Water Supply,Low
CMP-1537,Hyderabad,Broken traffic lights causing congestion in Hyderabad.,Traffic Signal Failure,Medium
CMP-1538,Bengaluru,Frequent voltage fluctuation in Bengaluru.,Electricity Outage,Medium
CMP-1539,Mumbai,Dirty drinking water coming from taps in Mumbai.,Water Supply,Low
CMP-1540,Chennai,"Traffic signals not working at Chennai, risk of accidents.",Traffic Signal Failure,Medium
CMP-1541,Mumbai,Broken traffic lights causing congestion in Mumbai.,Traffic Signal Failure,Medium
CMP-1542,Hyderabad,Patient not treated in emergency ward at Hyderabad.,Hospital Emergency,High
CMP-1543,Mumbai,Patient not treated in emergency ward at Mumbai.,Hospital Emergency,High
CMP-1544,Delhi,Broken traffic lights causing congestion in Delhi.,Traffic Signal Failure,Medium
CMP-1545,Delhi,Huge potholes causing accidents near Delhi.,Road Damage,Medium
CMP-1546,Mumbai,Officer demanded bribe for service approval in Mumbai.,Corruption Bribe,High
CMP-1547,Mumbai,Overflowing waste bins causing bad smell in Mumbai.,Garbage Disposal,Low
CMP-1548,Bengaluru,Garbage not collected for days in Bengaluru.,Garbage Disposal,Low
CMP-1549,Chennai,"Traffic signals not working at Chennai, risk of accidents.",Traffic Signal Failure,Medium
CMP-1550,Chennai,Frequent voltage fluctuation in Chennai.,Electricity Outage,Medium
CMP-1551,Delhi,"Traffic signals not working at Delhi, risk of accidents.",Traffic Signal Failure,Medium
CMP-1552,Chennai,"Ambulance delayed, urgent help needed in Chennai.",Hospital Emergency,High
CMP-1553,Chennai,"Unsafe area at night in Chennai, police patrolling required.",Women Safety,High
CMP-1554,Bengaluru,Garbage not collected for days in Bengaluru.,Garbage Disposal,Low
CMP-1555,Delhi,Power outage since morning in Delhi.,Electricity Outage,Medium
CMP-1556,Chennai,Broken traffic lights causing congestion in Chennai.,Traffic Signal Failure,Medium
CMP-1557,Mumbai,"Unsafe area at night in Mumbai, police patrolling required.",Women Safety,High
CMP-1558,Hyderabad,Broken traffic lights causing congestion in Hyderabad.,Traffic Signal Failure,Medium
CMP-1559,Delhi,Garbage not collected for days in Delhi.,Garbage Disposal,Low
CMP-1560,Mumbai,No water supply in Mumbai for 3 days.,Water Supply,Low
CMP-1561,Bengaluru,Dirty drinking water coming from taps in Bengaluru.,Water Supply,Low
CMP-1562,Mumbai,Patient not treated in emergency ward at Mumbai.,Hospital Emergency,High
CMP-1563,Delhi,Road repair pending for months in Delhi.,Road Damage,Medium
CMP-1564,Mumbai,Overflowing waste bins causing bad smell in Mumbai.,Garbage Disposal,Low
CMP-1565,Delhi,"Traffic signals not working at Delhi, risk of accidents.",Traffic Signal Failure,Medium
CMP-1566,Bengaluru,Garbage not collected for days in Bengaluru.,Garbage Disposal,Low
CMP-1567,Chennai,Harassment incidents reported near Chennai. Immediate action needed.,Women Safety,High
CMP-1568,Delhi,Power outage since morning in Delhi.,Electricity Outage,Medium
CMP-1569,Delhi,Dirty drinking water coming from taps in Delhi.,Water Supply,Low
CMP-1570,Chennai,Huge potholes causing accidents near Chennai.,Road Damage,Medium
CMP-1571,Chennai,Patient not treated in emergency ward at Chennai.,Hospital Emergency,High
CMP-1572,Hyderabad,"Ambulance delayed, urgent help needed in Hyderabad.",Hospital Emergency,High
CMP-1573,Mumbai,Harassment incidents reported near Mumbai. Immediate action needed.,Women Safety,High
CMP-1574,Mumbai,Officer demanded bribe for service approval in Mumbai.,Corruption Bribe,High
CMP-1575,Bengaluru,Garbage not collected for days in Bengaluru.,Garbage Disposal,Low
CMP-1576,Hyderabad,Huge potholes causing accidents near Hyderabad.,Road Damage,Medium
CMP-1577,Hyderabad,"Ambulance delayed, urgent help needed in Hyderabad.",Hospital Emergency,High
CMP-1578,Chennai,Overflowing waste bins causing bad smell in Chennai.,Garbage Disposal,Low
CMP-1579,Chennai,Garbage not collected for days in Chennai.,Garbage Disposal,Low
CMP-1580,Mumbai,No water supply in Mumbai for 3 days.,Water Supply,Low
CMP-1581,Bengaluru,Officer demanded bribe for service approval in Bengaluru.,Corruption Bribe,High
CMP-1582,Chennai,Garbage not collected for days in Chennai.,Garbage Disposal,Low
CMP-1583,Hyderabad,Patient not treated in emergency ward at Hyderabad.,Hospital Emergency,High
CMP-1584,Delhi,Huge potholes causing accidents near Delhi.,Road Damage,Medium
CMP-1585,Chennai,Overflowing waste bins causing bad smell in Chennai.,Garbage Disposal,Low
CMP-1586,Chennai,Road repair pending for months in Chennai.,Road Damage,Medium
CMP-1587,Hyderabad,"Ambulance delayed, urgent help needed in Hyderabad.",Hospital Emergency,High
CMP-1588,Delhi,Huge potholes causing accidents near Delhi.,Road Damage,Medium
CMP-1589,Mumbai,Road repair pending for months in Mumbai.,Road Damage,Medium
CMP-1590,Mumbai,"Traffic signals not working at Mumbai, risk of accidents.",Traffic Signal Failure,Medium
CMP-1591,Chennai,Illegal payments forced for basic work in Chennai.,Corruption Bribe,High
CMP-1592,Delhi,Power outage since morning in Delhi.,Electricity Outage,Medium
CMP-1593,Mumbai,"Traffic signals not working at Mumbai, risk of accidents.",Traffic Signal Failure,Medium
CMP-1594,Delhi,"Unsafe area at night in Delhi, police patrolling required.",Women Safety,High
CMP-1595,Bengaluru,Illegal payments forced for basic work in Bengaluru.,Corruption Bribe,High
CMP-1596,Delhi,Patient not treated in emergency ward at Delhi.,Hospital Emergency,High
CMP-1597,Mumbai,Road repair pending for months in Mumbai.,Road Damage,Medium
CMP-1598,Delhi,No water supply in Delhi for 3 days.,Water Supply,Low
CMP-1599,Mumbai,Broken traffic lights causing congestion in Mumbai.,Traffic Signal Failure,Medium
CMP-1600,Hyderabad,"Traffic signals not working at Hyderabad, risk of accidents.",Traffic Signal Failure,Medium
CMP-1601,Delhi,Garbage not collected for days in Delhi.,Garbage Disposal,Low
CMP-1602,Delhi,"Ambulance delayed, urgent help needed in Delhi.",Hospital Emergency,High
CMP-1603,Bengaluru,Dirty drinking water coming from taps in Bengaluru.,Water Supply,Low
CMP-1604,Hyderabad,Garbage not collected for days in Hyderabad.,Garbage Disposal,Low
CMP-1605,Bengaluru,Huge potholes causing accidents near Bengaluru.,Road Damage,Medium
CMP-1606,Chennai,"Traffic signals not working at Chennai, risk of accidents.",Traffic Signal Failure,Medium
CMP-1607,Chennai,"Unsafe area at night in Chennai, police patrolling required.",Women Safety,High
CMP-1608,Hyderabad,No water supply in Hyderabad for 3 days.,Water Supply,Low
CMP-1609,Chennai,Officer demanded bribe for service approval in Chennai.,Corruption Bribe,High
CMP-1610,Bengaluru,"Traffic signals not working at Bengaluru, risk of accidents.",Traffic Signal Failure,Medium
CMP-1611,Bengaluru,Huge potholes causing accidents near Bengaluru.,Road Damage,Medium
CMP-1612,Mumbai,"Traffic signals not working at Mumbai, risk of accidents.",Traffic Signal Failure,Medium
CMP-1613,Bengaluru,Broken traffic lights causing congestion in Bengaluru.,Traffic Signal Failure,Medium
CMP-1614,Hyderabad,Garbage not collected for days in Hyderabad.,Garbage Disposal,Low
CMP-1615,Hyderabad,Power outage since morning in Hyderabad.,Electricity Outage,Medium
CMP-1616,Bengaluru,Garbage not collected for days in Bengaluru.,Garbage Disposal,Low
CMP-1617,Mumbai,"Ambulance delayed, urgent help needed in Mumbai.",Hospital Emergency,High
CMP-1618,Hyderabad,Patient not treated in emergency ward at Hyderabad.,Hospital Emergency,High
CMP-1619,Delhi,Overflowing waste bins causing bad smell in Delhi.,Garbage Disposal,Low
CMP-1620,Hyderabad,"Traffic signals not working at Hyderabad, risk of accidents.",Traffic Signal Failure,Medium
CMP-1621,Mumbai,Frequent voltage fluctuation in Mumbai.,Electricity Outage,Medium
CMP-1622,Hyderabad,Power outage since morning in Hyderabad.,Electricity Outage,Medium
CMP-1623,Mumbai,Illegal payments forced for basic work in Mumbai.,Corruption Bribe,High
CMP-1624,Chennai,Dirty drinking water coming from taps in Chennai.,Water Supply,Low
CMP-1625,Bengaluru,Officer demanded bribe for service approval in Bengaluru.,Corruption Bribe,High
